"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16393","5. Navigasi ke App → Alert Dialogs → pilih OK Cancel","","Wed Aug 13 21:01:08 WIB 2025","broken","Wed Aug 13 21:01:25 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","22910","3. Klik menu Views → kembali","","Wed Aug 13 21:04:57 WIB 2025","broken","Wed Aug 13 21:05:20 WIB 2025","","API Demos - 3 Test Sederhana (Fix)","",""
"","5267","5. Navigasi ke App → Alert Dialogs → pilih OK Cancel","","Wed Aug 13 20:53:57 WIB 2025","broken","Wed Aug 13 20:54:02 WIB 2025","","API Demos - Skenario Test Sederhana","",""
"","16561","2. Klik menu Accessibility","","Wed Aug 13 21:00:18 WIB 2025","broken","Wed Aug 13 21:00:35 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","1075","3. Cek tombol Views ada di screen (optional)","","Wed Aug 13 21:27:33 WIB 2025","failed","Wed Aug 13 21:27:34 WIB 2025","","API Demos - Test Pasti Jalan Minimal","",""
"","5264","3. Klik menu Views dan kembali","","Wed Aug 13 20:53:47 WIB 2025","broken","Wed Aug 13 20:53:52 WIB 2025","","API Demos - Skenario Test Sederhana","",""
"","1560","2. Klik menu Accessibility → kembali","","Wed Aug 13 21:04:56 WIB 2025","passed","Wed Aug 13 21:04:57 WIB 2025","","API Demos - 3 Test Sederhana (Fix)","",""
"","1975","3. Klik menu Views → kembali","","Wed Aug 13 21:56:24 WIB 2025","passed","Wed Aug 13 21:56:26 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan + Allure","",""
"","1759","2. Klik menu Accessibility","","Wed Aug 13 20:53:45 WIB 2025","failed","Wed Aug 13 20:53:47 WIB 2025","","API Demos - Skenario Test Sederhana","",""
"","22615","2. Klik menu Accessibility → kembali","","Wed Aug 13 21:21:16 WIB 2025","broken","Wed Aug 13 21:21:39 WIB 2025","","API Demos - 3 Test Sederhana (Pasti Jalan)","",""
"","1030","2. Ambil screenshot menu utama","","Wed Aug 13 21:27:32 WIB 2025","passed","Wed Aug 13 21:27:33 WIB 2025","","API Demos - Test Pasti Jalan Minimal","",""
"","138","coba buka aplikasi nya","","Wed Aug 13 20:51:04 WIB 2025","passed","Wed Aug 13 20:51:04 WIB 2025","","API Demos","",""
"","22644","2. Klik menu Accessibility → kembali","","Wed Aug 13 21:31:30 WIB 2025","broken","Wed Aug 13 21:31:52 WIB 2025","","API Demos - 3 Test Sederhana dengan Report","",""
"","78","1. Cek activity utama terbuka","","Wed Aug 13 21:04:56 WIB 2025","passed","Wed Aug 13 21:04:56 WIB 2025","","API Demos - 3 Test Sederhana (Fix)","",""
"","5323","2. Klik menu Accessibility → kembali","","Wed Aug 13 21:19:39 WIB 2025","broken","Wed Aug 13 21:19:45 WIB 2025","","API Demos - 3 Test Sederhana (Fix Pasti Jalan)","",""
"","2098","2. Klik menu Preferences → kembali","","Wed Aug 13 21:56:22 WIB 2025","passed","Wed Aug 13 21:56:24 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan + Allure","",""
"","310","1. Ambil screenshot utama","","Wed Aug 13 21:39:02 WIB 2025","passed","Wed Aug 13 21:39:02 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan","",""
"","22652","3. Klik menu Views → kembali","","Wed Aug 13 21:39:25 WIB 2025","broken","Wed Aug 13 21:39:48 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan","",""
"","10271","3. Klik menu Accessibility → kembali","","Wed Aug 13 21:25:20 WIB 2025","broken","Wed Aug 13 21:25:30 WIB 2025","","API Demos - 3 Test Aman dan Singkat","",""
"","22617","3. Klik menu App → kembali","","Wed Aug 13 21:31:52 WIB 2025","broken","Wed Aug 13 21:32:15 WIB 2025","","API Demos - 3 Test Sederhana dengan Report","",""
"","42","1. Cek activity utama terbuka","","Wed Aug 13 20:53:45 WIB 2025","passed","Wed Aug 13 20:53:45 WIB 2025","","API Demos - Skenario Test Sederhana","",""
"","16797","3. Klik menu Views dan kembali","","Wed Aug 13 21:00:35 WIB 2025","broken","Wed Aug 13 21:00:52 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","39","1. Cek activity utama terbuka","","Wed Aug 13 21:19:39 WIB 2025","passed","Wed Aug 13 21:19:39 WIB 2025","","API Demos - 3 Test Sederhana (Fix Pasti Jalan)","",""
"","269","1. Ambil screenshot utama","","Wed Aug 13 21:56:22 WIB 2025","passed","Wed Aug 13 21:56:22 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan + Allure","",""
"","39","1. Cek activity utama terbuka","","Wed Aug 13 21:25:10 WIB 2025","passed","Wed Aug 13 21:25:10 WIB 2025","","API Demos - 3 Test Aman dan Singkat","",""
"","38","1. Cek activity utama terbuka","","Wed Aug 13 21:21:16 WIB 2025","passed","Wed Aug 13 21:21:16 WIB 2025","","API Demos - 3 Test Sederhana (Pasti Jalan)","",""
"","16409","4. Klik menu Animation → klik tombol Basic","","Wed Aug 13 21:00:52 WIB 2025","broken","Wed Aug 13 21:01:08 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","22692","3. Klik menu Animation → Basic → kembali","","Wed Aug 13 21:21:39 WIB 2025","broken","Wed Aug 13 21:22:01 WIB 2025","","API Demos - 3 Test Sederhana (Pasti Jalan)","",""
"","5286","3. Klik menu Animation → Basic → kembali","","Wed Aug 13 21:19:45 WIB 2025","broken","Wed Aug 13 21:19:50 WIB 2025","","API Demos - 3 Test Sederhana (Fix Pasti Jalan)","",""
"","1109","1. Cek activity utama terbuka","","Wed Aug 13 21:31:29 WIB 2025","failed","Wed Aug 13 21:31:30 WIB 2025","","API Demos - 3 Test Sederhana dengan Report","",""
"","5266","4. Klik menu Animation → klik tombol Basic","","Wed Aug 13 20:53:52 WIB 2025","broken","Wed Aug 13 20:53:57 WIB 2025","","API Demos - Skenario Test Sederhana","",""
"","1116","1. Cek activity utama terbuka","","Wed Aug 13 21:27:31 WIB 2025","failed","Wed Aug 13 21:27:32 WIB 2025","","API Demos - Test Pasti Jalan Minimal","",""
"","22668","2. Klik menu Preferences → kembali","","Wed Aug 13 21:39:02 WIB 2025","broken","Wed Aug 13 21:39:25 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan","",""
"","38","1. Cek activity utama terbuka","","Wed Aug 13 21:00:18 WIB 2025","passed","Wed Aug 13 21:00:18 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","10373","2. Klik menu App → kembali","","Wed Aug 13 21:25:10 WIB 2025","broken","Wed Aug 13 21:25:20 WIB 2025","","API Demos - 3 Test Aman dan Singkat","",""
